salt,solvent,concentration,solv_per_ion_pair
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)OCC(=O)C(=O)C(C)C,0.88,5.14
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)CC1CCCCCC(C)C1,1.5,2.51
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(C)CC(C)=O,0.7,11.03
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(=O)C(CCC(C)C)OC,0.74,6.86
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCOC(=O)CC1CC1C1CCCC1,0.61,7.49
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(=O)C(C)C(C)OC,0.83,6.01
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(C)OC(=O)CSC,1.32,3.63
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC(C)(C)C(=O)CC1C(C)(C)C,0.61,7.49
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC1CC(=O)C(C(C)C)C1(C)C,1.14,3.61
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC(C)(C)C(C)(C)CC1=O,0.7,7.49
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(=O)C(C)C(C)C(C)C(C)C,0.7,6.35
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(C(C)(C)C)C1(CC)OO1,1.06,4.16
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(CF)C1(CF)CCOC1,0.34,16.88
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(=O)C(C)C(CC)SC#N,0.83,5.59
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1(OC(=O)OC)CCC(C)C1,0.83,5.56
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(C)CC(=O)CC,0.39,15.33
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)CCC1CCCCCC1C,1.14,3.57
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC1CC1C1C(=O)CCC1C,0.39,12.33
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(C#N)CS(=O)(=O)CC,0.83,5.58
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1(OC(=O)OC)CCC(C)C1,1.41,2.59
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(C)CC(C)S(C)(=O)=O,0.83,5.08
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(CC)C(C)C(=O)OC(C)C,1.14,3.49
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCCC(=O)C(C)C(C)OC,0.43,12.18
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COCCC(C(C)C)C(C)C,0.34,17.14
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1CC(C)C1C(C)CCOC,0.97,4.36
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(=O)CCC(C)(C)C(C)C(C)C,0.3,16.85
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(CC)CC(=O)C(C)CC,0.57,8.96
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCCCC(C#N)(CC)C(C)=O,0.97,4.43
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC12CC3C4CCC35CC(C1CO5)C42,0.74,5.91
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCOC(C)OC(=O)OC,0.43,14.16
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC12COC(CC1C)CC2(C)C,1.28,3.04
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1CCC(C)(C)C(=O)C1,1.19,3.97
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC1(C)CC(=O)C12CCCC2C,1.41,2.48
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COC1=CSC=CC1,0.83,7.62
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1C(OC(C)=O)OC(=O)C1C#N,0.7,6.09
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(=O)C(C)C(C)C(C)C(C)C,1.01,3.84
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1(C(=O)C2CCCCC2=O)CCC1,0.48,9.55
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC1CC2(CCCCC2)CO1,0.34,14.88
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COC(=O)OCC(=O)C(=O)C(C)C,1.1,3.62
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CC2CCCC3(CCCC3=O)C12,0.79,5.4
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1CCCC(=O)C1Cl,0.61,8.79
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(=O)CCC1CCC(C)O1,1.19,3.92
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CC(C)(C)C(C)(C)CC1=O,1.37,2.98
[Li+].[B-](F)(F)(F)F,CC(=O)CC(C)CCOC(C)=O,0.97,5.67
[Li+].[B-](F)(F)(F)F,CCC1COC(C)C2CCC2C1C,0.79,6.64
[Li+].[B-](F)(F)(F)F,CCCCC(OC(C)=O)C(C)(C)F,0.43,11.93
[Li+].[B-](F)(F)(F)F,CCC(C)CC(C)=O,1.28,6.36
[Li+].[B-](F)(F)(F)F,CC1CCCC2CC1COC(C)(C)C2,1.23,3.86
[Li+].[B-](F)(F)(F)F,CC(C)CCOC(=O)C(C)(C)F,0.74,7.36
[Li+].[B-](F)(F)(F)F,CC1CC2CCCC3(CCCC3=O)C12,0.92,5.37
[Li+].[B-](F)(F)(F)F,CC(C)C(C)CCCC(=O)C#N,0.66,8.73
[Li+].[B-](F)(F)(F)F,CC(C)(C)c1ccc2c(c1)ON(F)O2,1.01,4.74
[Li+].[B-](F)(F)(F)F,CCC12CC1OC(=O)CCCCC2C,1.06,4.53
[Li+].[B-](F)(F)(F)F,CCCC(CCC(F)F)C(=O)OC,1.14,4.23
[Li+].[B-](F)(F)(F)F,CC1C(CS(C)(=O)=O)C1(C)C,0.43,12.88
[Li+].[B-](F)(F)(F)F,CCC12COC(CC1C)CC2(C)C,1.1,4.68
[Li+].[B-](F)(F)(F)F,CCC(CC)C(C)C(=O)OC(C)C,1.5,3.28
[Li+].[B-](F)(F)(F)F,CC1CCC(=O)CC(=O)C12CCCC2,1.23,3.9
[Li+].[B-](F)(F)(F)F,CCC(=O)C(C)C(CC)SC#N,0.43,12.25
[Li+].[B-](F)(F)(F)F,COC(=O)C1CC(C)(F)CC1CF,1.01,4.86
[Li+].[B-](F)(F)(F)F,CCCCC(OC)C(CC)CC,0.92,5.99
[Li+].[B-](F)(F)(F)F,CCCC(C(C)C)C(C)C(=O)OC,0.88,5.8
[Li+].[B-](F)(F)(F)F,CCC(=O)C(CCC(C)C)OC,0.97,5.66
[Li+].[B-](F)(F)(F)F,CC1C2CC(=O)C(C#N)C(C)(C)CC12,1.06,4.64
[Li+].[B-](F)(F)(F)F,CCC1C(COC)C2C3CC3CC12C,1.28,3.74
[Li+].[B-](F)(F)(F)F,CCCC1C2CCC(C)C(C)C12OC,1.01,4.76
[Li+].[B-](F)(F)(F)F,CC(CF)C1(CF)CCOC1,0.66,8.89
[Li+].[B-](F)(F)(F)F,CCC1CCC2OC(=O)OC12,0.43,14.54
[Li+].F[P-](F)(F)(F)(F)F,CC12CCCC1(C)C(C(=O)C#N)CC2,0.61,8.1
[Li+].F[P-](F)(F)(F)(F)F,CSCCC(=O)CSC,1.06,5.2
[Li+].F[P-](F)(F)(F)(F)F,CC(=O)C1CCCS(=O)(=O)C1,0.7,7.6
[Li+].F[P-](F)(F)(F)(F)F,CCC(=O)CC1OC(=O)C1C1CC1,0.92,5.47
[Li+].F[P-](F)(F)(F)(F)F,CCCC1(CC)COC(=O)OC1,1.37,3.72
[Li+].F[P-](F)(F)(F)(F)F,CCCCC(C)OC(=O)OCC,0.7,7.69
[Li+].F[P-](F)(F)(F)(F)F,COC(=O)CC1(CC(C)C)CCC1,0.92,5.41
[Li+].F[P-](F)(F)(F)(F)F,CCCCC(C)C(=O)OOCF,1.01,5.05
[Li+].F[P-](F)(F)(F)(F)F,CCN1C(C)CC(=O)C12CC2C,1.14,4.71
[Li+].F[P-](F)(F)(F)(F)F,CCC(C)C(CC#N)CCCC(C)=O,1.06,4.37
[Li+].F[P-](F)(F)(F)(F)F,CCOC(=O)CC1CC1C1CCCC1,0.66,7.26
[Li+].F[P-](F)(F)(F)(F)F,CCC1C2C(C)C(=O)CCCC12OC,1.23,3.69
[Li+].F[P-](F)(F)(F)(F)F,CCCC1(C)CC(CC)C(=O)C1C,0.43,12.27
[Li+].F[P-](F)(F)(F)(F)F,COC(=O)CC1CCCCCC(C)C1,1.19,3.79
[Li+].F[P-](F)(F)(F)(F)F,CCCCCC(=O)OC(C)CCC,0.66,7.65
[Li+].F[P-](F)(F)(F)(F)F,COC(=O)C(C)C(C)S(=O)(=O)F,0.7,6.76
[Li+].F[P-](F)(F)(F)(F)F,CCCC(CCC(F)F)C(=O)OC,0.52,9.44
[Li+].F[P-](F)(F)(F)(F)F,CCCC1(C)CC(=O)C12CCCC2C,0.92,5.13
[Li+].F[P-](F)(F)(F)(F)F,CCCC(=O)C1CCCC(=O)C1CC,1.41,3.16
[Li+].F[P-](F)(F)(F)(F)F,CC(=O)C(C)(C)C(C)C#N,1.28,4.97
[Li+].F[P-](F)(F)(F)(F)F,CCCOCCC1CC(C)CCC1C,0.97,4.75
[Li+].F[P-](F)(F)(F)(F)F,CCCC1CC2(CCCCC2)CO1,1.41,3.4
[Li+].F[P-](F)(F)(F)(F)F,CCS(=O)(=O)CCCC(C)(C)F,1.06,4.35
[Li+].F[P-](F)(F)(F)(F)F,CC(=O)CCC1CCC(C)O1,1.19,4.81
[Li+].F[P-](F)(F)(F)(F)F,COCCC(C(C)C)C(C)C,0.97,5.95
[Li+].[O-]Cl(=O)(=O)=O,CC(=O)CCCCC(C)CC(C)=O,1.06,4.78
[Li+].[O-]Cl(=O)(=O)=O,CCC1CC(C)(CC)C(=O)CC1(C)C,0.39,12.74
[Li+].[O-]Cl(=O)(=O)=O,CC1CC(C)(C)C(=O)CC1C(C)(C)C,0.92,5.22
[Li+].[O-]Cl(=O)(=O)=O,COC(=O)OCCCSSC,1.46,3.17
[Li+].[O-]Cl(=O)(=O)=O,CC(=O)CC1CC1C1CC(C)C2CC21,1.19,4.04
[Li+].[O-]Cl(=O)(=O)=O,CCCCC(=O)C(C)(C)C(C)C,0.79,7.07
[Li+].[O-]Cl(=O)(=O)=O,CCCCCC(F)C(=O)CN(C)C,0.79,6.36
[Li+].[O-]Cl(=O)(=O)=O,CCCC1(C)CC(CC)C(=O)C1C,0.61,8.65
[Li+].[O-]Cl(=O)(=O)=O,FCC1OCCO1,0.43,21.33
[Li+].[O-]Cl(=O)(=O)=O,CCCCC(OC)C(CC)CC,0.97,5.62
[Li+].[O-]Cl(=O)(=O)=O,CCCC(=O)CC(CC#N)C(C)(C)C,1.5,3.09
[Li+].[O-]Cl(=O)(=O)=O,CCC(=O)C(C)CS(=O)C(C)C,0.34,15.13
[Li+].[O-]Cl(=O)(=O)=O,CCCC(F)C(=O)CC,1.28,5.44
[Li+].[O-]Cl(=O)(=O)=O,CC1CCC12CC2C(=O)OC1(C)CC1,1.01,4.77
[Li+].[O-]Cl(=O)(=O)=O,CCC(=O)CC1OC(=O)C1C1CC1,1.06,4.83
[Li+].[O-]Cl(=O)(=O)=O,COC(=O)C1CCCC(C(C)C)C1C,0.92,5.17
[Li+].[O-]Cl(=O)(=O)=O,CSCCC(=O)CSC,1.1,5.15
[Li+].[O-]Cl(=O)(=O)=O,CC(CF)C1(CF)CCOC1,1.28,4.38
[Li+].[O-]Cl(=O)(=O)=O,CCC(=O)C(CCC(C)C)OC,1.41,3.75
[Li+].[O-]Cl(=O)(=O)=O,COCS(=O)(=O)C(C)(C)C,1.46,3.74
[Li+].[O-]Cl(=O)(=O)=O,CCC(CC)(OC(C)=O)SC,0.39,14.19
[Li+].[O-]Cl(=O)(=O)=O,CCCC1CC(=O)C(C(C)C)C1(C)C,0.92,5.22
[Li+].[O-]Cl(=O)(=O)=O,CC12CCCC1(C)C(C(=O)C#N)CC2,0.34,15.05
[Li+].[O-]Cl(=O)(=O)=O,CCC(=O)N1CCCCC1Cl,1.41,3.68
[Li+].[O-]Cl(=O)(=O)=O,CC12CC3(C)CC(C1)(C2)S3(=O)=O,1.01,4.98
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC12CC(CCCCC1=O)C2,0.48,11.98
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC1CCC(Cl)C1C(C)=O,0.61,8.86
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(=O)C1CC2CCCC(C2)C1=O,0.83,6.18
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC1CC2C3C(C)(C)CCC23O1,1.19,4.5
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC(C)C1CCC(CCOC)C1,0.34,15.46
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC12CCCC1(C)C(C(=O)C#N)CC2,0.61,8.09
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(=O)CCC(C)(C)C(C)C(C)C,1.14,4.26
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCCCC1CC1C(=O)C(=O)C#N,1.06,4.41
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCS(=O)(=O)CC(C)CCCl,1.37,3.21
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC(C#N)CS(=O)(=O)CC,0.3,18.5
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC1CCCC2CC1COC(C)(C)C2,1.5,2.93
[Li+].[O-]S(=O)(=O)C(F)(F)F,COC1CCCC(C2CCC3CC32)C1,1.28,3.55
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(=O)C(C)C1CC(C)C(C)C1,1.06,5.06
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC1(C)CCCCCS(=O)(=O)C1,1.32,3.5
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC(CC)C(C)C(=O)OC(C)C,0.57,8.92
[Li+].[O-]S(=O)(=O)C(F)(F)F,CS(=O)(=O)C1CCCCC1,0.52,11.29
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCC(C)C(C)(C)CCC(C)=O,0.92,5.4
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCC(C(=O)CC)C(CC)C(C)C,1.28,3.48
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCCC(OC(C)=O)C(C)(C)F,0.43,11.74
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCC1(CC)COC(=O)OC1,0.92,5.78
[Li+].[O-]S(=O)(=O)C(F)(F)F,FCC1OCCO1,1.23,6.8
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCOC(=O)C(C)C1CCC1CC,0.79,5.92
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCCC(CC)C1CC(=O)N1C,1.06,4.65
[Li+].[O-]S(=O)(=O)C(F)(F)F,COC(=O)CCC1CCCCCC1C,0.43,11.26
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC(CC(C)=O)C(=O)CC(F)F,0.83,5.79
[Li+].[N-](C#N)C#N,COC(C)CC1CCCC12CCC2,1.06,4.94
[Li+].[N-](C#N)C#N,CCCC12CC(C)C1CC(=O)O2,0.74,7.78
[Li+].[N-](C#N)C#N,CCC(C#N)CS(=O)(=O)CC,1.41,3.8
[Li+].[N-](C#N)C#N,CCCC(=O)C(CC)CC(C)(C)F,0.83,6.17
[Li+].[N-](C#N)C#N,CCCC(=O)C(C)C(=O)CC(C)=O,1.37,3.73
[Li+].[N-](C#N)C#N,CC(=O)C1CC2CCCC(C2)C1=O,1.5,3.46
[Li+].[N-](C#N)C#N,CC1CCC2(CCC(=O)O2)C1(C)C,0.7,7.6
[Li+].[N-](C#N)C#N,CCCCCCC(=O)CC(C)CCC,0.61,8.05
[Li+].[N-](C#N)C#N,CC(=O)CCCCC(C)CC(C)=O,1.23,4.18
[Li+].[N-](C#N)C#N,CC(=O)C1(CC(C)C(C)C)CCCC1,0.92,5.32
[Li+].[N-](C#N)C#N,CCC(C)C(=O)CCC(C)C(C)(C)C,0.34,14.61
[Li+].[N-](C#N)C#N,CCC1(C(C)(C)C)OOC1=O,1.01,5.99
[Li+].[N-](C#N)C#N,COC(=O)C1CCCC(C(C)C)C1C,0.74,6.6
[Li+].[N-](C#N)C#N,CCC1C2CC3CC1(CC3C#N)C2=O,1.5,3.3
[Li+].[N-](C#N)C#N,CC(=O)CC(C(C)=O)C(=O)C(C)=O,1.28,4.01
[Li+].[N-](C#N)C#N,CC1=C[C@H](F)C=CO1,0.61,13.99
[Li+].[N-](C#N)C#N,CC(C)(CS(=O)(=O)F)C1CC1,0.3,18.26
[Li+].[N-](C#N)C#N,COC(=O)OCCOC(C)F,0.79,7.36
[Li+].[N-](C#N)C#N,CC(CS(C)(=O)=O)C(F)CF,0.34,15.56
[Li+].[N-](C#N)C#N,CCCOC(=O)C(C)C1CCC1CC,1.06,4.54
[Li+].[N-](C#N)C#N,CC1C(=O)C(C#N)CC2CCCC21,0.52,10.61
[Li+].[N-](C#N)C#N,CC1CC(C)(C#N)C(=O)C2(C)CC12,1.46,3.62
[Li+].[N-](C#N)C#N,CC1CN2C(C)C3OC(=O)OC3C12,0.92,5.7
[Li+].[N-](C#N)C#N,CSCCC(=O)CSC,0.79,7.44
[Li+].[N-](C#N)C#N,CCC1CCCCC(CC)C(=O)O1,0.52,10.2
[Li+].[C-](C#N)(C#N)C#N,CCCCC(OC(C)=O)C(C)(C)F,1.23,3.97
[Li+].[C-](C#N)(C#N)C#N,CC(=O)C1CC2(C(C)=O)CC2C1C,1.06,4.92
[Li+].[C-](C#N)(C#N)C#N,CC1CC(C)(C)C(C)(C)CC1=O,0.34,17.14
[Li+].[C-](C#N)(C#N)C#N,CCC1C(=O)OC(C)C(C)C1C,0.74,7.6
[Li+].[C-](C#N)(C#N)C#N,CC(=O)OCP,1.23,7.13
[Li+].[C-](C#N)(C#N)C#N,COCCC(C(C)C)C(C)C,1.5,3.85
[Li+].[C-](C#N)(C#N)C#N,FCC1OCCO1,1.41,6.15
[Li+].[C-](C#N)(C#N)C#N,CCOC(=O)C(CC(C)=O)C1CC1C,0.88,5.44
[Li+].[C-](C#N)(C#N)C#N,CCC(C)C(=O)CCC(C)(C)C(C)=O,1.14,4.14
[Li+].[C-](C#N)(C#N)C#N,COC(=O)OC(CC(C)C)N(C)C,1.28,3.83
[Li+].[C-](C#N)(C#N)C#N,CCS(=O)(=O)CCCC(C)(C)F,1.14,4.18
[Li+].[C-](C#N)(C#N)C#N,CCCCC(OC)C(CC)CC,0.7,7.96
[Li+].[C-](C#N)(C#N)C#N,COC(=O)C1(C)CCCC(=O)C1C,0.7,7.44
[Li+].[C-](C#N)(C#N)C#N,CC1COCCCC1(C)C,0.57,11.93
[Li+].[C-](C#N)(C#N)C#N,CCCOCCC1CC(C)CCC1C,0.79,6.09
[Li+].[C-](C#N)(C#N)C#N,CCC1C(OC(C)=O)OC(=O)C1C#N,1.5,3.09
[Li+].[C-](C#N)(C#N)C#N,CCCC(C)CC(=O)OC(C)=O,0.7,7.96
[Li+].[C-](C#N)(C#N)C#N,COC(=O)C(C)CC(C)(C)C(C)C,0.43,12.18
[Li+].[C-](C#N)(C#N)C#N,COC(=O)OCCOC(C)F,1.06,5.33
[Li+].[C-](C#N)(C#N)C#N,CC(=O)CC(C(C)=O)C(=O)C(C)=O,1.41,3.54
[Li+].[C-](C#N)(C#N)C#N,CCC(P)CCC(C)=O,0.83,7.85
[Li+].[C-](C#N)(C#N)C#N,CC1CC(OC=O)CCC2(C)CC2C1,1.46,3.2
[Li+].[C-](C#N)(C#N)C#N,CCCC(C)C(C)CCC(=O)CC#N,1.37,3.45
[Li+].[C-](C#N)(C#N)C#N,CCC(CC)OC1CC(=O)CC1CC,0.34,14.54
[Li+].[C-](C#N)(C#N)C#N,CCCCC(=O)C(C)(C)C(C)CC,0.43,12.31
[Li+].[O-][N+](=O)=O,COCS(=O)(=O)C(C)(C)C,0.79,7.37
[Li+].[O-][N+](=O)=O,COC(=O)OC1CCCC(C)C1,0.83,6.76
[Li+].[O-][N+](=O)=O,COC(=O)C(C)C(C)S(=O)(=O)F,0.92,5.28
[Li+].[O-][N+](=O)=O,CCCC(C)C(C)CCC(=O)CC#N,0.7,7.11
[Li+].[O-][N+](=O)=O,FCC1OCCO1,1.41,6.3
[Li+].[O-][N+](=O)=O,CC1(C)CCCCCS(=O)(=O)C1,1.19,4.2
[Li+].[O-][N+](=O)=O,COC(=O)OCC1C2CCCC1C2,0.3,17.87
[Li+].[O-][N+](=O)=O,CCC12CC3CC4COC3C(C1)C42,0.92,5.87
[Li+].[O-][N+](=O)=O,CC1CC(C)(C)C(=O)CC1C(C)(C)C,1.19,4.07
[Li+].[O-][N+](=O)=O,CCCCCOC(=O)C(C)C,1.32,4.53
[Li+].[O-][N+](=O)=O,CC(C)CCOC(=O)C(C)(C)F,0.52,10.68
[Li+].[O-][N+](=O)=O,CCCC1(C)CC(CC)C(=O)C1C,1.19,4.39
[Li+].[O-][N+](=O)=O,CCCCC(C)OC(=O)OCC,1.32,4.12
[Li+].[O-][N+](=O)=O,CCC(C)CC1(CC(=O)OC)CC1,1.46,3.5
[Li+].[O-][N+](=O)=O,CC(=O)C(C)(C)C(C)C#N,1.46,4.63
