smiles,mol_weight,n_oxygen,n_heavy,solvent_key
CC(C)C(=O)C(=O)C(C)(C)CC#N,181.235,2,13,S39eca86e5cae
CCC1CC(C)(CC)C(=O)CC1(C)C,196.334,1,14,S3a7beacdebdd
CCCC1(C)CC(=O)C12CCCC2C,194.318,1,14,Sa6089f35064a
CC1C(=O)C2CCCC2C1=O,152.193,2,11,S94838a92d05e
CCC(C#N)CS(=O)(=O)CC,175.253,2,11,S98fbd1dc7f19
CC(F)C(=O)C1(C)CCCO1,160.188,2,11,S689754e2e743
CC(C)C(C)CCCC(=O)C#N,167.252,1,12,S11dbf603976a
CC1CCC(=O)CC(=O)C12CCCC2,194.274,2,14,S9fc75bb3be25
CC(=O)CCC1CC(=O)C1C(C)C,182.263,2,13,S5d41d348fe74
CC(=O)CC1CC1C1CC(C)C2CC21,192.302,1,14,S5abf042b60e2
CCCC(=O)C(=O)OC,130.143,3,9,S350f767980e6
CC1=C[C@H](F)C=CO1,114.119,1,8,Sd88a7ba70eab
COC(=O)C(=O)C(C)CC(C)Cl,192.642,3,12,S714db46e8721
CC(C)CCOC(=O)C(C)(C)F,176.231,2,12,S18cb379914cf
CCCCCCCOS(C)(=O)=O,194.296,3,12,S76874b16b9c2
CCCCCC(=O)N(C=O)CCC,185.267,2,13,Sbeca3cf453ae
CCC1C(OC(C)=O)OC(=O)C1C#N,197.19,4,14,S66c63f162273
CC(=O)C1CC2CCCC(C2)C1=O,180.247,2,13,Sc945ef1d4e68
CC1CC2CCCC3(CCCC3=O)C12,192.302,1,14,S8b1bf3f51566
CCCCC(C)OC(=O)OCC,174.24,3,12,Sf0923465db12
CCC1CCC2C3CCC3OC(=O)C12,194.274,2,14,Scc9eb242aee3
CCC1C2CC3CC1(CC3C#N)C2=O,189.258,1,14,S1001f6556102
CCC(CC)OC1CC(=O)CC1CC,198.306,2,14,Sd8d51051b665
CC(=O)OC1(C)CCCC(C)(C)C1C,198.306,2,14,S2dc26f76daea
CC(=O)OC1CCC(OC(C)=O)C1,186.207,4,13,S8d0f73ca7c00
CCC1C(COC)C2C3CC3CC12C,194.318,1,14,S71694db42c96
CCCC(C)(C)CC(=O)C(C)C(C)C,198.35,1,14,S2aedd08cf251
CC(=O)C1C2CCC(CSC2)C1C,198.331,1,13,S4d0c8ac3ea88
CCCCOS(C)(C)C(C)(C)C,192.368,1,12,S51cb37ed5e76
CCC1C(=O)OC(C)C(C)C1C,170.252,2,12,S33c8ea617033
CCC(=O)C(CCC(C)C)OC,172.268,2,12,S66cc5bdb407d
CC1CCC(C)C12C(=O)CCCC2=O,194.274,2,14,S6d81f6960de1
CCCCCS(=O)(=O)CC,164.27,2,10,S6eabb7980054
CC(=O)N(OC(=O)OCF)C(C)=O,193.13,5,13,S405908ff67ce
CN(C)C1=COC(C#N)=CO1,152.153,2,11,S773fac990d31
CCC(P)CCC(C)=O,146.17,1,9,Scf1923c7a087
CCCC1(CC)C(COC)C1(C)C,184.323,1,13,S768fb88d8bed
CCS(=O)(=O)C1CCC1,148.227,2,9,S8c52916a9cc4
CC1CCCC2CC1COC(C)(C)C2,196.334,1,14,Sc542501a432b
CCC(CC)(OC(C)=O)C(C)(C)C,186.295,2,13,S1c0509a5bc15
CC1CCC(=O)C1C(C)C(C)(C)C,182.307,1,13,Sd29032727b47
CCC1CCC(C)(C)C(=O)C1,154.253,1,11,S0debb2ea78ce
CCCC1CC2(CCCCC2)CO1,182.307,1,13,S4018fef8453d
CC1CCC12CC2C(=O)OC1(C)CC1,194.274,2,14,S1f168c1db747
CCC1CCCC12CC(=O)OC2C,182.263,2,13,S9abea462f31b
CCCC(C)C(C)(C)CCC(C)=O,184.323,1,13,S46f60018b3ae
CCCC(CCC)C[PH](C)=O,176.24,1,11,S906f14670514
COC(=O)C(C)CC(C)CC(C)=O,186.251,3,13,S7e691d351329
CC(=O)C(C(C)=O)C1CC1C,154.209,2,11,Sd631448041a5
CCCCC(=O)CCC(C)(C)C#N,181.279,1,13,S8c9ce98c9a2b
CC1CC(C)(C#N)C(=O)C2(C)CC12,177.247,1,13,Sac66560e7d87
COC(=O)C(C)C(C)S(=O)(=O)F,198.215,4,12,Saa5f97f3f22c
CCCC(C)C(C)S(=O)(=O)F,182.26,2,11,S0dfa37ccb00f
CC1(C(=O)Cl)CCCC1CCl,195.089,1,11,S83a035dfd4b7
CC(=O)C1CC2(C(C)=O)CC2C1C,180.247,2,13,Se447765789e9
CC12CCC3CCC(C1)C2COC3,180.291,1,13,S8f5ff86e310c
CC(=O)CC(=O)C1(C)CC1C,154.209,2,11,S2b6667448be0
CCC(CC)C(C)C(=O)OC(C)C,186.295,2,13,Sffb26a91871b
CC12CC3(C)CC(C1)(C2)S3(=O)=O,186.276,2,12,Sb198202ea31d
CCCCCC(F)C(=O)CN(C)C,189.274,1,13,S215c3dee5440
CC(=O)CCCC1CCC(=O)C1C,182.263,2,13,Sd71247ea9c37
CCCC(=O)OC1CCC(CC)C1,184.279,2,13,Sf0ccf2ecc2c6
COC(=O)C(C)CS(C)(=O)=O,180.225,4,11,S0daec2fd1c9a
CCCCC(=O)OCCC(C)C,172.268,2,12,S19e8ece671ac
COC1=CSC=CC1,128.196,1,8,S7646c4e68019
CSCC(C(=O)F)C(C)C(C)C,192.299,1,12,S2b37bc0ab1b1
CCC1OC(=O)CCC1C(C)C,170.252,2,12,S235b658d4b26
CCCC(=O)CC(C)C(C)C,156.269,1,11,Sf22199ad84a9
CCC(C)C(=O)CCC(C)(C)C(C)=O,198.306,2,14,S50bb80543e6c
CCC(C)OC(=O)CSC,162.254,2,10,Sbb7fa83b9196
COC(=O)OC(CC(C)C)N(C)C,189.255,3,13,S3aadd3bf5860
CC(C)(C)CC1CCS1(=O)=O,176.281,2,11,S31bb49561b07
CCCC(=O)C(C)C(=O)CC(C)=O,184.235,3,13,S22d594f40992
CCC(C)(C)CCC(=O)N1CCCO1,199.294,2,14,Sbfb28e1331c0
CCC1COC(C)C2CCC2C1C,182.307,1,13,S73a7eb833b8f
CCCC(C)C1OC(=O)C1C,156.225,2,11,S483e2c366092
CCCC(F)C(=O)CC,132.178,1,9,Sb67b2c0ecdaf
CC12CC3C4CCC35CC(C1CO5)C42,190.286,1,14,S69efe6872bba
CCCCCC(C)C(=O)OCCC,186.295,2,13,S9b643758157f
CCCCC(C)S(=O)(=O)Cl,184.688,2,10,Sd18aae4c301d
CC1C2C(=O)C(=O)C(CC(C)(C)C)C12,194.274,2,14,S941de040ae01
CCCCC(=O)C(C)(C)C(C)C,170.296,1,12,S3f15ac81e06e
COC(=O)OCC1C2CCCC1C2,184.235,3,13,S0ef33bcac1ff
CCS(=O)(=O)CCCC(C)(C)C,192.324,2,12,S0784587f49f4
CCC1CCCC(=O)C1Cl,160.644,1,10,S97aa1623b0ae
CC1CC(C)(C)C(C)(C)CC1=O,168.28,1,12,S4096ac4c09ea
CCCC1CC1(C)C(=O)C#N,151.209,1,11,S1ae25b2e2f71
COCC1C2C(C)C2C(C)CC1(C)C,196.334,1,14,S677f2e1835a5
COc1cc(-c2ccccc2)c[nH]1,173.215,1,13,S53b96ba881ae
CCCC(=O)C(C#N)C(CC)CC,181.279,1,13,S85bff4aaac3b
CC(=O)C1CCCS(=O)(=O)C1,176.237,3,11,S102a9bcca9d2
CCCC1C2CCC(C)C(C)C12OC,196.334,1,14,Sd7bdaf9f3368
CC(=O)CCCCCCC(=O)C(C)=O,198.262,3,14,S7be2ef3249ce
CCC(CC)OP(=O)(Cl)CC,198.63,2,11,Scac2624e0cf1
CCC1CCCCC1C(=O)OC(C)C,198.306,2,14,S0856fd16b158
CC1C2CC(=O)C(C#N)C(C)(C)CC12,191.274,1,14,Sf8166c430727
CCCC12CC(C)C1CC(=O)O2,168.236,2,12,S10cf9329fa6e
CC1CC(C)(C)C(=O)CC1C(C)(C)C,196.334,1,14,Sa28fab30c970
CCCC(=O)C(C)C(C)C(C)C(C)C,198.35,1,14,S652d24891b1c
CC(CF)C1(CF)CCOC1,164.195,1,11,Se980182157d3
CCCC(C)C(C)CCC(=O)CC#N,195.306,1,14,S5abea7358f4a
CCON(C)C(C)C1CCCS1,189.324,1,12,S25d091ed29f0
CCCCC(=O)C(C)C(C)OC,172.268,2,12,S33048bd02f4d
CC1CC(C)C(CCC(=O)N(C)C)C1,197.322,1,14,Sacaced582033
CCC(=O)C(C)C(CC)SC#N,185.292,1,12,Sca8850f40247
CCC(C(=O)OC)S(=O)(=O)CC,194.252,4,12,S00ae5d24d88e
CCCCCC(=O)OC(C)CCC,186.295,2,13,S2d92c9c846f8
CC(=O)CC1C(C)C2CCC1(C#N)C2,191.274,1,14,S9c808b11287f
CCC1CCC(Cl)C1C(C)=O,174.671,1,11,Sb99841ae74a7
CC1CC(OC=O)CCC2(C)CC2C1,196.29,2,14,S54ea9a861261
CC1CC2CCC(C)C(C2)C1=O,166.264,1,12,Sf4642924395b
CCOC(=O)OCOCC(C)Cl,196.63,4,12,S6500218e7fd1
CCS(=O)(=O)CC(C)CCCl,198.715,2,11,S15e4a5daa0b8
CC1(C(F)F)CCCC1=O,148.152,1,10,S51f19d4718d1
CCCCC(C)C(=O)OOCF,178.203,3,12,S933ec6c66b81
CCC(C)CC1(CC(=O)OC)CC1,184.279,2,13,Sd7375efb798f
CCC(=O)C1(C)CC(C)CCCC1C,196.334,1,14,S563675d9fccf
CC(=O)C1(CC(C)C(C)C)CCCC1,196.334,1,14,Se74c9a4aaac2
CCCC1SOC(C)(C)C1C,174.309,1,11,See7b7915ca26
CN(C)C(=O)CC1(C)CC2CC1C2,181.279,1,13,Saaf6455ac71f
COP(C)(=O)CC(=O)CC(C)C,192.195,3,12,S8608d8fc97d1
CC1CCC2(CCC(=O)O2)C1(C)C,182.263,2,13,Sd88a8f4d1933
C#Cc1cc(OC)cs1,138.191,1,9,S6b03c5c2bd1f
CC1C(=O)C2CCCC(C)(C2)C1(C)C,194.318,1,14,Sa779ca5c4dc5
COC(=O)C1CC(C)(F)CC1CF,192.205,2,13,S0e2a3cf7f309
CS(=O)(=O)C1CCCCC1,162.254,2,10,S5300873bc4a7
COC(=O)C1(C)CCC12CCCC2,182.263,2,13,S53881e841fcf
CCCOCCCC(C)CCC,172.312,1,12,Sc5c6aa8511cf
CC(=O)CCC1CCC(C)O1,156.225,2,11,S618f437d963b
CC(=O)CCCCC(C)CC(C)=O,184.279,2,13,S6fb169a60611
CCCCC(CC)C1CC(=O)N1C,183.295,1,13,Sb9c6d3d2c9f5
CCCC(=O)C(CC)S(C)(=O)=O,192.28,3,12,S0963cf231b77
CCCCC(CC)CC(=O)C1CC1,182.307,1,13,S0093f7b1166e
CCCC(C)CC(C)S(C)(=O)=O,192.324,2,12,S215eed19c40e
COC(=O)CC1CCCCCC(C)C1,198.306,2,14,Se3c12237517c
COC(=O)OC1CCCC(C)C1,172.224,3,12,Sc20bd1037f85
CCCOC(=O)OC(C)N(C)CC,189.255,3,13,Sc5afdc0d1f96
CCC1(C)CC2C(C)C2C1C(=O)OC,196.29,2,14,Sf7a80b70e1cf
COC(=O)OCC(=O)C(=O)C(C)C,188.179,5,13,S8f1340067aec
CCOC(=O)C(CC(C)=O)C1CC1C,198.262,3,14,S47c98294ff41
CC1(C)CCCCCS(=O)(=O)C1,190.308,2,12,Se4b1fea15fa6
CC(=O)CCC(C)(C)C(C)C(C)C,184.323,1,13,S778694cdca07
CCCC(C)OC(=O)OC(C)=O,174.196,4,12,Sd65f75c3bea9
CCCC1CC(=O)C(C(C)C)C1(C)C,196.334,1,14,Sd86af9db6f52
CCCC(=O)CCCCC(F)CC,188.286,1,13,Sa6dd15fd0e20
CCC(C)C(=O)C1(C#N)CC1,151.209,1,11,Sfe0a2224b0d6
CCCCCC1CC1C(=O)C(=O)C#N,193.246,2,14,Sf307e9b7d786
CCC(C)C(CC#N)CCCC(C)=O,195.306,1,14,S4492192f1d4e
CC1CC2CC(C2)C(C)C(=O)OC1C,196.29,2,14,S06b428d05009
COC(=O)CCC1CCCCCC1C,198.306,2,14,S84e1b66e3a27
CCCC(F)(CC)C(C)=O,146.205,1,10,S590d3ec55b88
CCCC1(C)CC(CC)C(=O)C1C,182.307,1,13,S3e91070b9bf6
CCC(=O)CC1OC(=O)C1C1CC1,182.219,3,13,Sb1b067069f60
CCC1CC(C(=O)OC)CC1=O,170.208,3,12,S85cb0914f5eb
CCC12CC(CCCCC1=O)C2,166.264,1,12,S6025d9407903
CS(=O)(=O)CCCC1CCC1,176.281,2,11,S3fa2564e7f67
CCCOC(=O)OCOC,148.158,4,10,S8dd2bb084caf
CCC12CC3CC4COC3C(C1)C42,178.275,1,13,Sb703fe1a50f5
CCC(C)CC(C)=O,114.188,1,8,Sdc50030926ce
CCCC(CCC(F)F)C(=O)OC,194.221,2,13,S3edf6137d9c9
COC(=O)C1(C)CCCC(=O)C1C,184.235,3,13,S1a1cf1d818d4
CCCCCCC(=O)CC(C)CCC,198.35,1,14,S013fdf74fdc1
CCCC(=O)C(C)C(C)(C)C,156.269,1,11,S540c9bce5ae8
CCCOC(=O)C(C)C1CCC1CC,198.306,2,14,S2c3975e95d78
CCC1(C)CC(=O)CCC1(C)C,168.28,1,12,S105b713f5a46
CCCC12CCOC1(CC)C2,154.253,1,11,S7f239775ead5
CCCC(C(=O)CC)C(CC)C(C)C,198.35,1,14,S132a7250d70e
COCS(=O)(=O)C(C)(C)C,166.242,3,10,S7adf30e6977e
CCCC(C)CC(=O)OC(C)=O,172.224,3,12,S8af73807eb6d
CCC(C)C(OOC)C(C)C(C)C,188.311,2,13,S8bb7ec38e979
CCCC(=O)C1CCCC(=O)C1CC,196.29,2,14,Sa3d3e58a44f1
CCCCC(C(C)=O)C(Cl)Cl,197.105,1,11,Sb4b28df0322c
CCC(CCC(C)C(C)C)OC,172.312,1,12,S2d7695c3830d
CCC1(C(C)(C)C)OOC1=O,158.197,3,11,S11daa9807048
CC(=O)CCCC(C)C(C)(C)C#N,181.279,1,13,S854954286a9b
CCC(CC(C)(F)F)C(=O)CC#N,189.205,1,13,S226863e83430
COC(=O)OCCOC(C)F,166.148,4,11,S4d2f15c975f3
CCC12CC1OC(=O)CCCCC2C,196.29,2,14,S87be929fcdd1
CC1C(CS(C)(=O)=O)C1(C)C,176.281,2,11,Scd162cff19ff
CC1OC(=O)OC2C(=O)N(C)C1C2C,199.206,4,14,Se0fb22cee5fe
CC1C(=O)CCC2(C#N)C(C3CC3)C12,189.258,1,14,Sc049651726c3
CC1COCC2(C1)C(=O)OCC2C#N,195.218,3,14,S1c44bbe44955
CC(=O)CC(C(C)=O)C(=O)C(C)=O,184.191,4,13,S4614047ca666
CCOC(=O)C(C#N)(CC)CC(C)C,197.278,2,14,S32d001e3f3b6
COC(C)CC1CCCC12CCC2,182.307,1,13,S3c2b9a6b3cbf
CCCC(C(C)(C)C)C1(CC)OO1,186.295,2,13,S80f289dbd05c
CCCC1(CC)COC(=O)OC1,172.224,3,12,Sda1cacdbc9c4
CCC1(OC(=O)OC)CCC(C)C1,186.251,3,13,S21b3f288896b
CSCCC(=O)CSC,164.295,1,9,Scd79c24ad6c2
CC(=O)C(C)(C)C(C)C#N,139.198,1,10,S4e3c54e90875
CCC(CC)CC(=O)C(C)CC,170.296,1,12,S7bb1936c0770
CCCCC(OC(C)=O)C(C)(C)F,190.258,2,13,S73f7060b1e00
CCC(=O)CCC(=O)OC(C)=O,172.18,4,12,Sa6a3d5227fd7
CCC(SC)C(=O)OC(C)C,176.281,2,11,S12fd33700510
CCCCCC(C#N)(CC)C(C)=O,181.279,1,13,S748cb522d6bf
CC(=O)C1C2CC3CC(C2)CC1C3,178.275,1,13,S1714f3826520
CC1C2CCC(C)(C)C1OC(=O)O2,184.235,3,13,Sc48b3e380db0
CCC1C2C(C)C(=O)CCCC12OC,196.29,2,14,Sa35cfc491e64
CCC1(C#N)CCCCC(=O)O1,167.208,2,12,S42a5d3df1f5a
CCCC1(CC)OOOC1C,160.213,3,11,S3edb542cccd8
CC(CC1CCC1)C(=O)Cl,160.644,1,10,Sbf7df6db1f34
CCC(=O)C(C)C1SCCS1,190.333,1,11,S5c7048949758
CC1CN2C(C)C3OC(=O)OC3C12,183.207,3,13,S54bc35cabc25
CCC(=O)N1CCCCC1Cl,175.659,1,11,S89865e0d679d
CCC(C)C(=O)CCC(C)C(C)(C)C,198.35,1,14,Sf19b728d9135
CCC1CC(C)C1C(C)CCOC,184.323,1,13,Se5d79f034af8
CC(=O)C(C)C1CC(C)C(C)C1,168.28,1,12,Sbb03007c1b66
CCOC(=O)OCCCS(C)=O,194.252,4,12,S67d9707a7b0d
CCCOCCC1CC(C)CCC1C,198.35,1,14,S91316768d2cc
CCOC(C)=O,88.106,2,6,S9c82a341e1dc
CCCC1C(CC)OCC1C1(C)CC1,196.334,1,14,S51a7cc6e236d
CCC(CC(C)=O)C(=O)CC(F)F,192.205,2,13,Sf4b76415d7ab
COOCC(C)CCC(C)C,160.257,2,11,S3b94a1bccd96
CC(C)(CS(=O)(=O)F)C1CC1,180.244,2,11,S47844fb1745a
CCCCC(OC)C(CC)CC,172.312,1,12,Sc99d9b16dbb5
CC1(C(=O)C2CCCCC2=O)CCC1,194.274,2,14,S2c6db26ab6e2
CCN1C(C)CC(=O)C12CC2C,167.252,1,12,Sf4671bf64324
CCCC(=O)OSC,134.2,2,8,Se3f549a5d23b
COCCC(C(C)C)C(C)C,158.285,1,11,S4bbc75ff2226
CC(C)(C)c1ccc2c(c1)ON(F)O2,197.209,2,14,Sfff8dded6392
CCC(CC)(OC(C)=O)SC,176.281,2,11,Sbc26b1321804
CC1COCCCC1(C)C,142.242,1,10,S76cb98704df3
CCC(Cl)C(=O)C(C)=O,148.589,2,9,Sa32c8c1fefe2
CCCC(CC)OOC(=O)Cl,180.631,3,11,Sd31dbf095844
CCCC(OC)C1OC(=O)OC1=O,188.179,5,13,S89917b3a9009
FCC1OCCO1,106.096,2,7,Sc6d1213a5bbb
CCCCC1C(C)C1CC(C)=O,168.28,1,12,Sfd7734abd377
CCCCCC(C)S(=O)(=O)CC,192.324,2,12,Sc32ce9edf4f7
CCOC(C)OC(=O)OC,148.158,4,10,Sa65afd9a774c
COC(=O)OCCCSSC,196.293,3,11,S2fe9daef37e6
