salt,solvent,concentration,solv_per_ion_pair
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(=O)C(C)C(C)C(C)C(C)C,0.43,11.17
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(C)C(C1CC1)C(C)(C)C,0.83,7.1
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC1(C)CC(=O)C12CCCC2C,1.1,4.11
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCOCCCC(C)CCC,1.1,4.64
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC(OC(C)=O)C(C)(C)F,0.88,5.39
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1C2C(C)C(=O)CCCC12OC,1.32,3.3
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CSC(Cl)(Cl)SC,0.97,5.2
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(CS(C)(=O)=O)C(F)CF,0.39,13.18
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1C2CCCC(C3(C)CC3)C12,1.23,3.94
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,C1CC(C2CC3CC4(CCC24)C3)C1,1.01,4.99
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1CCC2(CCC(=O)O2)C1(C)C,1.06,4.57
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)CC1(CC(=O)OC)CC1,0.97,5.0
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCCC(C)C(C)C(C)CCC,0.97,4.64
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1C(C2C3CCCC32)C1(C)C,0.39,13.76
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC1(CC)OOOC1C,0.97,5.75
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1CCC(C)(C)C1C1CCCC1,1.28,3.45
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC(C)C(=O)C1CO1,0.66,8.99
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)C1C(C(C)C)CC12CC2C,1.01,4.53
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC12CC3C4CCC35CC(C1CO5)C42,0.3,16.94
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(=O)CC(C(C)=O)C(=O)C(C)=O,0.7,7.16
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(F)(F)CCCC#N,0.83,6.79
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(CCC)C(C)CC#N,1.5,3.33
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(=O)CC(CC#N)C(C)(C)C,0.57,8.42
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,C1CC2CC2CC2CCC3(C1)CC3C2,0.61,8.03
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,COC(=O)OCC(=O)C(=O)C(C)C,0.79,6.14
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)CC(C(C)C#N)C(C)(C)C,1.5,2.85
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCCCCCC(C)PC,1.32,3.44
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC12CCCC1(C)C(C(=O)C#N)CC2,0.3,16.85
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,COCC(CC(C)C)C12CCCC1C2,0.57,8.38
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(CCC(C)C(C)C)OC,1.32,3.76
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(=O)C1CC2(C(C)=O)CC2C1C,1.28,3.4
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(=O)OCCC(C)C,0.34,16.09
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1C2C3CC4CCC(C)C4(C3)C12,0.52,9.22
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC12CC3CC(C1)C2C3,0.88,7.92
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(=O)CCCC1CCC(=O)C1C,0.52,9.62
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CSC(C#N)CC(C)(C)C,0.7,8.01
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(=O)OSC,1.1,5.52
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1C(=O)OC(C)C(C)C1C,0.48,11.24
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(C)C1CC2CC(C#N)(C2)C(C)C1,1.1,3.87
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1C(C)CC1C(C)C,0.39,17.08
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1CCC(CC)C1,0.48,15.16
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(C#N)C1CCC(C)C1(C)C,1.01,4.97
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(C)C(=O)C(C)(C#N)CC,1.28,3.14
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)C(C)CS(C)(=O)=O,0.48,10.62
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COCC(CC(C)C)C12CCCC1C2,0.66,6.86
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)CC1(CC(C)C)CCC1,1.41,2.93
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(Cl)CCC(C)C(F)(F)F,1.5,2.64
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(C#N)C(C)CCC(C)C,1.01,4.91
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1CCCCC1C(=O)OC(C)C,0.83,5.22
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(Cl)CC(C#N)CC(C)(C)C,0.7,6.71
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC12CCC3CCC(C1)C2COC3,1.06,4.3
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1(C)CC1CCC(C)C(C)C#N,1.01,4.25
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(C)CC1(C)CC(C)C12CC2,0.66,8.1
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1CC2C(OC)CC(C)C2(C)C1,0.3,16.12
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1CC(C)(CC)C(=O)CC1(C)C,0.48,9.75
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)OC(CC(C)C)N(C)C,1.46,2.73
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(F)C(C)S(C)(C)CF,0.79,6.44
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(CC1CC1)CC12CC1C2,0.88,6.44
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC2CCCC3(CCCC3=O)C12,0.88,5.03
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC1(C)CC(=O)C12CCCC2C,1.23,3.31
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(CC)(CCl)C1CC1,0.34,17.25
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1COCC2(C1)C(=O)OCC2C#N,0.39,12.27
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(=O)OC1CCC(OC(C)=O)C1,0.61,7.9
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(C#N)CC1CCCCC1,0.88,5.85
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(CC)CC(=O)C1CC1,1.1,4.06
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCOC(=O)OCOC,0.88,6.53
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1CC(C)C2(CC)CC12C,0.83,6.23
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1(C)CC2C(C)C2C1C(=O)OC,1.46,2.63
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)OC1CCCC(C)C1,0.48,11.12
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(CCCC(C)C(C)C)SC#N,1.01,4.12
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC1C(CC1CC1)C1CCC1,0.97,4.83
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CCCC2CC1COC(C)(C)C2,0.88,4.93
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCCC1(C2CC2)CC1,1.28,4.02
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC1CCCC(CC)C(C)C1,0.61,7.49
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(=O)OCP,1.46,4.87
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(CC)C(=O)CS(C)(=O)=O,0.7,6.55
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C1CC2CC3C4CC4C3C3CC(C1)C23,0.97,4.58
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC2CC(C2)CC1C,0.92,6.64
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CCC(=O)C1C(C)C(C)(C)C,1.32,3.23
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C1C2C1C1C2CC2CC21C1CC1,0.83,6.46
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCOC(C)=O,0.52,19.24
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COC(=O)CC1(CC(C)C)CCC1,0.61,7.66
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCCCCCCC(C)CCF,0.66,6.84
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1(C)CC2C(C)C2C1C(=O)OC,1.5,2.24
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(CC1CC1)CC12CC1C2,1.23,3.9
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(C)CCC1(C)N(C(C)C)C1(C)C,0.66,6.52
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(=O)OC1CCC(OC(C)=O)C1,1.5,2.36
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COC(=O)OCCOC(C)F,0.88,5.47
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COP(C)(=O)CC(=O)CC(C)C,0.92,4.47
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(CCC(C)C(C)C)OC,0.83,5.67
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCS(=O)(=O)CC(C)CCCl,0.48,9.34
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1CCCCC1C(=O)OC(C)C,1.46,2.31
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,C1CCCC23CCCC2C(CC1)C3,0.3,17.42
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCOC(=O)OCCCS(C)=O,0.48,9.55
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(=O)CCCC1CCC(=O)C1C,0.57,8.38
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(CC)(CC)CCl,0.61,8.68
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CSCCCC(C)SC,0.43,12.77
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(CC(C)=O)C(=O)CC(F)F,0.3,16.16
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COC1CCCC(C2CCC3CC32)C1,1.1,3.51
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CC2CC3(C)CC(C1)(C2)C3,1.5,2.67
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CCC(=O)C1C(C)C(C)(C)C,0.43,11.51
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CCC(C)(C)CC1,0.66,10.2
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC1(CC)OOOC1C,0.92,5.36
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(C)C(=O)C1(C#N)CC1,1.41,3.18
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1C(OC(C)=O)OC(=O)C1C#N,1.14,3.29
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCS(=O)(=O)C1CCC1,1.23,3.95
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CCC1(C)C1(C(C)C)CC1(C)C,1.01,3.92
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CC(C2C(C)C(C)CC2(C)C)C1,0.79,5.34
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(C)CC1(CC)CCCCC1,0.52,9.3
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1C(COC)C2C3CC3CC12C,1.37,2.58
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COC(=O)OCCCSSC,1.28,2.82
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(C)C(F)CCC(C)C,0.3,17.82
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCOCCC1CC(C)CCC1C,1.19,3.09
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CCC12CC2C(=O)OC1(C)CC1,0.39,12.03
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(CCC)CC(C)CC#N,1.19,3.38
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(OC)C1OC(=O)OC1=O,1.32,2.82
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC12CCOC1(CC)C2,0.43,13.6
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(C(C)C)C1CCC(C)(C)C1C,0.83,4.98
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCS(=O)(=O)CCCC(C)(C)F,0.43,10.69
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC1(C)CC(CC)C(=O)C1C,0.97,4.41
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCCC(=O)C(C)(C)C(C)C,1.41,2.83
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(C)(C)CC1CCCCC1C#N,0.39,13.03
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC1(CC)C(COC)C1(C)C,0.79,5.63
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,C#Cc1cc(OC)cs1,1.5,3.18
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCOC(=O)OC(C)N(C)CC,0.66,6.8
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1CC(C)C(C)(C)C1(C)C,0.43,12.46
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCCC(=O)CCC(C)(C)C#N,0.88,5.01
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(SC)C(=O)OC(C)C,0.92,4.87
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(=O)N(OC(=O)OCF)C(C)=O,1.1,3.53
[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCCC(CC#N)C(C)(C)F,0.66,7.52
[Li+].[B-](F)(F)(F)F,CCCCC(CC)CC(C)C(C)CC,0.83,5.79
[Li+].[B-](F)(F)(F)F,CCCC1(C)CC(CC)C(=O)C1C,1.01,5.13
[Li+].[B-](F)(F)(F)F,CC(=O)CC(C)CCOC(C)=O,0.92,5.99
[Li+].[B-](F)(F)(F)F,CC1CC2CC3CCC(C1)C3C2,1.14,5.0
[Li+].[B-](F)(F)(F)F,CC12CCCC1(C)C(C(=O)C#N)CC2,1.28,3.8
[Li+].[B-](F)(F)(F)F,CCC(C)C1CCC(CCOC)C1,0.79,6.57
[Li+].[B-](F)(F)(F)F,COC(=O)OCC1C2CCCC1C2,1.32,3.81
[Li+].[B-](F)(F)(F)F,CCCCC(OC(C)=O)C(C)(C)F,0.66,7.67
[Li+].[B-](F)(F)(F)F,CCC12CC3CC4COC3C(C1)C42,1.5,3.43
[Li+].[B-](F)(F)(F)F,CCCCC(CCC)CCF,0.92,6.44
[Li+].[B-](F)(F)(F)F,CC1CC2CC(C2)CC1C,1.19,5.68
[Li+].[B-](F)(F)(F)F,CCCC1(CCC(C)C)CCCC1,1.37,3.7
[Li+].[B-](F)(F)(F)F,CCCCC(C)C12CCCCCC1C2,1.28,3.74
[Li+].[B-](F)(F)(F)F,CCC(C)(C)CCC(=O)N1CCCO1,1.32,3.52
[Li+].[B-](F)(F)(F)F,CC(C)C1CCCCCCCCCC1,0.97,4.97
[Li+].[B-](F)(F)(F)F,CCCCCCC(CC)CC,0.34,18.46
[Li+].[B-](F)(F)(F)F,CCC(CC)CC(=O)C(C)CC,0.88,6.35
[Li+].[B-](F)(F)(F)F,CC(C)C1CCC(CCC#N)C1C,0.52,10.42
[Li+].[B-](F)(F)(F)F,CCCC(C)(C1CCC1)C1CCC1C,1.37,3.47
[Li+].[B-](F)(F)(F)F,CCCC(C)(C)CC(=O)C(C)C(C)C,0.57,8.57
[Li+].[B-](F)(F)(F)F,COC(=O)OCC(=O)C(=O)C(C)C,0.57,9.03
[Li+].[B-](F)(F)(F)F,C=Cc1ccc(C(C)=O)s1,0.57,11.16
[Li+].[B-](F)(F)(F)F,CCON(C)C(C)C1CCCS1,1.06,4.69
[Li+].[B-](F)(F)(F)F,CCC(=O)CC1OC(=O)C1C1CC1,0.97,5.36
[Li+].[B-](F)(F)(F)F,CCCC(C(C)(C)C)C1(CC)OO1,1.46,3.38
[Li+].[B-](F)(F)(F)F,CCCOC(=O)OCCC(C)OC,0.79,6.36
[Li+].[B-](F)(F)(F)F,CC(=O)C(C(C)=O)C1CC1C,0.61,10.27
[Li+].[B-](F)(F)(F)F,CCCC(=O)CC(C)C(C)C,0.34,18.47
[Li+].[B-](F)(F)(F)F,COC(=O)CC1CCCCCC(C)C1,0.3,16.53
[Li+].[B-](F)(F)(F)F,COCC1C2C(C)C2C(C)CC1(C)C,0.74,6.6
[Li+].[B-](F)(F)(F)F,CCC1CC1C1CCC(C)C1C,1.41,3.93
[Li+].[B-](F)(F)(F)F,c1csc(CCCC2CC2)c1,0.92,6.2
[Li+].[B-](F)(F)(F)F,CCCOCCCC(C)CCC,1.41,3.8
[Li+].[B-](F)(F)(F)F,CCCC1SOC(C)(C)C1C,0.39,14.39
[Li+].[B-](F)(F)(F)F,CCOC(C)OC(=O)OC,0.39,16.93
[Li+].[B-](F)(F)(F)F,CC1CCC(CCCCC2CC2C)C1,1.32,3.61
[Li+].[B-](F)(F)(F)F,COCCC(C(C)C)C(C)C,0.39,15.85
[Li+].[B-](F)(F)(F)F,CCCCC(CC#N)C(C)(C)F,0.34,16.85
[Li+].[B-](F)(F)(F)F,CC1(C(F)F)CCCC1=O,0.79,8.17
[Li+].[B-](F)(F)(F)F,CCCC(CC)COC(=O)OCC,1.41,3.47
[Li+].[B-](F)(F)(F)F,CC(F)C(=O)C1(C)CCCO1,1.14,5.13
[Li+].[B-](F)(F)(F)F,CCC1CC(C)(CC)C(=O)CC1(C)C,0.39,12.78
[Li+].[B-](F)(F)(F)F,CCCC(C(C)C)C1(C)CCCC1,1.32,3.85
[Li+].[B-](F)(F)(F)F,CC1CCC(C)(C)CC1,1.32,5.56
[Li+].[B-](F)(F)(F)F,CCC(=O)N1CCCCC1Cl,1.28,4.13
[Li+].[B-](F)(F)(F)F,CCC(CC(C)(F)F)C(=O)CC#N,1.41,3.46
[Li+].[B-](F)(F)(F)F,CCC(C)(C)CCCC(F)CF,0.57,9.53
[Li+].[B-](F)(F)(F)F,CC1CCC(C)(CC2CC2)C1(C)C,1.5,3.39
[Li+].[B-](F)(F)(F)F,CCCC1(C)CCC(C)CC1(C)C,0.66,8.01
[Li+].[B-](F)(F)(F)F,CC(C)N(C)C(CCF)CC(F)F,1.28,3.68
[Li+].F[P-](F)(F)(F)(F)F,CC1CC(C)(C)C2CCCC12,0.61,10.18
[Li+].F[P-](F)(F)(F)(F)F,CCCC(F)(F)CCCC#N,1.19,4.66
[Li+].F[P-](F)(F)(F)(F)F,CC1CCC2C(C)CC(C)C2C1,1.01,5.42
[Li+].F[P-](F)(F)(F)(F)F,CC1CCCC2(C#N)CCC(C1)C2,0.34,16.09
[Li+].F[P-](F)(F)(F)(F)F,CC1C2CC3CC3C(C#N)C(C2)C1C,0.39,13.07
[Li+].F[P-](F)(F)(F)(F)F,CCCC(=O)C(C#N)C(CC)CC,0.92,5.5
[Li+].F[P-](F)(F)(F)(F)F,CC(F)CC(C)(F)C#N,1.06,6.41
[Li+].F[P-](F)(F)(F)(F)F,CCC(C)CC(C)=O,0.48,17.46
