smiles,mol_weight,exact_mol_weight
CCCCCCCOS(C)(=O)=O,194.296,194.097665436
CCC(C)C(F)CCCCC(C)C,188.32999999999998,188.19402902
CCCCCC(=O)N(C=O)CCC,185.26699999999997,185.141578848
CC1C(C#N)C23CC(C)C(C)(C2)C13,175.27499999999998,175.136099544
CCCCCCC1(CC)CCC(C)C1,196.37799999999996,196.219100896
CCC(C)PCCCPC,178.196,178.1040239
CCCC(CCC)C(C)CC#N,167.296,167.167399672
CCC1C(OC(C)=O)OC(=O)C1C#N,197.19,197.068807832
CC(C)C1CCC2C(C)C2(C)C1,166.30799999999996,166.172150704
CC(=O)C1CC2CCCC(C2)C1=O,180.24699999999999,180.115029752
CC1CCC(C)(C)CC1,126.243,126.14085057599999
CCSCC1CCCCCC1,172.33699999999996,172.12857164
CCCC(CC)C(C)C1CC1CC,182.35099999999997,182.203450832
CC1CC2CCCC3(CCCC3=O)C12,192.302,192.15141526
CCCCC(C)OC(=O)OCC,174.23999999999995,174.125594436
CCC1CCC(C)CC1(C)CC(C)C,196.378,196.219100896
CCC1CCC2C3CCC3OC(=O)C12,194.274,194.130679816
CCC1C2CC3CC1(CC3C#N)C2=O,189.258,189.1153641
CCCCC(CC)CC(C)C(C)CC,198.39399999999998,198.23475095999999
CCCCCC(CC)C(C)(C)C,170.33999999999997,170.203450832
CCSCC1CC1CC,144.283,144.097271512
CCC(CC)OC1CC(=O)CC1CC,198.30599999999995,198.161979944
CC(=O)OC1(C)CCCC(C)(C)C1C,198.30599999999998,198.161979944
CCCCC(CCC)CC(C)C#N,181.323,181.183049736
CC(=O)OC1CCC(OC(C)=O)C1,186.20699999999997,186.089208928
CCC1C(COC)C2C3CC3CC12C,194.31799999999996,194.167065324
CCCC(C)(C)CC(=O)C(C)C(C)C,198.35,198.198365452
CC(=O)C1C2CCC(CSC2)C1C,198.331,198.107836196
CCCC(C)C(F)CCC(C)C,174.303,174.178378956
CCCCOS(C)(C)C(C)(C)C,192.36799999999997,192.154786388
CCC1C(=O)OC(C)C(C)C1C,170.25199999999998,170.130679816
CCC(=O)C(CCC(C)C)OC,172.26799999999997,172.14632988
CC1CCC(C)C12C(=O)CCCC2=O,194.27399999999994,194.130679816
CCCCCS(=O)(=O)CC,164.26999999999998,164.087100752
CCC(C#N)CC(C)C1CCC(C)C1,193.33399999999995,193.183049736
CC(=O)N(OC(=O)OCF)C(C)=O,193.12999999999997,193.038650576
CCC1CC1C1CCC(C)C1C,166.308,166.172150704
CN(C)C1=COC(C#N)=CO1,152.153,152.058577496
CCC(P)CCC(C)=O,146.17,146.08605172999998
CCCC(CCC#N)C(C)(CC)CC,195.34999999999997,195.19869979999999
CCCC1(CC)C(COC)C1(C)C,184.32299999999998,184.182715388
CCCCCCC(CC)CC,156.313,156.187800768
CCS(=O)(=O)C1CCC1,148.22699999999998,148.055800624
CC1CCCC2CC34CCC1C23C4,176.30299999999997,176.15650064
CCCCC(C)(C)C(Cl)C#N,173.68699999999998,173.097127192
CC1CCCC2CC1COC(C)(C)C2,196.33399999999997,196.182715388
CCC(CC)(OC(C)=O)C(C)(C)C,186.29499999999996,186.161979944
CC1CCC(=O)C1C(C)C(C)(C)C,182.30699999999996,182.167065324
CCC(C)CC1(CC)CCCCC1,182.35099999999994,182.203450832
CCC(C)(C)CCC1C2CCSC21,198.37499999999997,198.144221704
CCC1CCC(C)(C)C(=O)C1,154.253,154.135765196
CCCC1CC2(CCCCC2)CO1,182.30699999999996,182.167065324
CC1CCC12CC2C(=O)OC1(C)CC1,194.27399999999994,194.130679816
CCC1CCCC12CC(=O)OC2C,182.263,182.130679816
CC(F)C(C)S(C)(C)CF,170.26799999999997,170.094077952
CCCC(C)C(C)(C)CCC(C)=O,184.32299999999998,184.182715388
CC1CCC2CC1(C1CC3CC1C3)C2,190.32999999999996,190.172150704
CCCC(CCC)C[PH](C)=O,176.24,176.133001922
COC(=O)C(C)CC(C)CC(C)=O,186.25099999999995,186.125594436
CC1CC2CCCC3CCC1C32,164.292,164.15650064
CC(=O)C(C(C)=O)C1CC1C,154.209,154.099379688
CCCCC(=O)CCC(C)(C)C#N,181.279,181.146664228
CC1CC(C)(C#N)C(=O)C2(C)CC12,177.24699999999999,177.1153641
COC(=O)C(C)C(C)S(=O)(=O)F,198.21499999999997,198.036208052
CCCC(C)C(C)S(=O)(=O)F,182.25999999999996,182.07767894
CC1(C(=O)Cl)CCCC1CCl,195.089,194.026520364
CC(=O)C1CC2(C(C)=O)CC2C1C,180.24699999999999,180.115029752
CC12CCC3CCC(C1)C2COC3,180.29099999999997,180.15141526
CCCN(CCC(C)C)C(C)C,171.32799999999997,171.19869979999999
CC(=O)CC(=O)C1(C)CC1C,154.209,154.099379688
CCCC(CCCC#N)C(F)(F)F,193.212,193.107834108
CCC(CC)C(C)C(=O)OC(C)C,186.295,186.161979944
CCCCCCCCC(C)PC,188.295,188.16938743
CC12CC3(C)CC(C1)(C2)S3(=O)=O,186.27599999999998,186.071450688
CCCCCC(F)C(=O)CN(C)C,189.27399999999997,189.15289248
CCCCCCC(C)CC#N,153.269,153.151749608
CC(=O)CCCC1CCC(=O)C1C,182.263,182.130679816
CC1CCCC2(C#N)CCC(C1)C2,177.29099999999997,177.151749608
CCP(C)CCCC(C)C,160.241,160.138087302
CCCCCC(CSC)C(C)C,188.38,188.159871768
CCCC(CC)C(C)(C)CSC,188.38,188.159871768
CCCC(=O)OC1CCC(CC)C1,184.27899999999994,184.14632988
CC(C)C1C(C)CCCC1C#N,165.28,165.151749608
COC(=O)C(C)CS(C)(=O)=O,180.225,180.045629864
CCC1(CC)CC(C)CC(C)C1,168.32399999999998,168.187800768
CCCCC(=O)OCCC(C)C,172.26799999999997,172.14632988
CCC(CC)(CCl)C1CC1,160.688,160.101878224
COC1=CSC=CC1,128.19599999999997,128.029585876
CCC1(C)C2CC(C)C(C)C21,152.28099999999998,152.15650064
CSCC(C(=O)F)C(C)C(C)C,192.299,192.098414384
CCC1OC(=O)CCC1C(C)C,170.25199999999998,170.130679816
CCC(C#N)C(C)CCC(C)C,167.296,167.167399672
CCCC(=O)CC(C)C(C)C,156.26899999999998,156.15141526
CCC(C)C(=O)CCC(C)(C)C(C)=O,198.30599999999998,198.161979944
CCC(C)OC(=O)CSC,162.254,162.071450688
COC(=O)OC(CC(C)C)N(C)C,189.25499999999997,189.136493468
CSC(Cl)(Cl)SC,177.121,175.928797552
CC(C)(C)CC1CCS1(=O)=O,176.28099999999998,176.087100752
CCCC(=O)C(C)C(=O)CC(C)=O,184.23499999999996,184.109944372
CCCCCCC(CC)C(C)(C)C,184.367,184.219100896
CCCC12CC(C1CC)N(C)C2CC,195.34999999999997,195.19869979999999
CCCP(C)CCC,132.18699999999998,132.106787174
CCC(C)(C)CCC(=O)N1CCCO1,199.29399999999993,199.157228912
CCC1COC(C)C2CCC2C1C,182.307,182.167065324
CCCC1CC2C3CCC3C3C1C23,176.30300000000003,176.15650064
CCCC(C)C1OC(=O)C1C,156.225,156.115029752
CCCC(F)C(=O)CC,132.178,132.095043256
CCCCC1C(CC)C1(C)Cl,174.71499999999997,174.117528288
CC(F)CC(C)(F)C#N,133.141,133.070305728
CC12CC3C4CCC35CC(C1CO5)C42,190.286,190.135765196
CCCCC(SC)SSC,196.406,196.041413512
CCCCCC(C)C(=O)OCCC,186.29499999999996,186.161979944
CCC(C)CC1CC1C1CCCC1,180.33499999999992,180.187800768
CCC1C(C2C3CCCC32)C1(C)C,178.319,178.172150704
CCC1(C)CC1CCC(C)C(C)C#N,193.33399999999997,193.183049736
CCCC(C)(P)CC,132.187,132.106787174
CC(Cl)CC1CC(C#N)C1,157.64399999999998,157.065827064
CCC1CCC(CC)C1,126.243,126.14085057599999
CCCCC(C)S(=O)(=O)Cl,184.688,184.032478336
CC1CCC(CCCCC2CC2C)C1,194.362,194.203450832
CC1C2C(=O)C(=O)C(CC(C)(C)C)C12,194.27399999999997,194.130679816
CCCCC(=O)C(C)(C)C(C)C,170.296,170.167065324
COC(=O)OCC1C2CCCC1C2,184.23499999999996,184.109944372
CCS(=O)(=O)CCCC(C)(C)C,192.32399999999998,192.11840088
CCC(C)(C)CCCC(F)CF,178.26599999999996,178.15330708
CCC1CCCC(=O)C1Cl,160.644,160.065492716
CC(C)CSC1CC2CCCC2C1,198.37499999999994,198.144221704
CCCP(C)CCC(C)CC,174.26799999999997,174.153737366
CC1CCC2C3CC4CC3CC4C12C,190.32999999999998,190.172150704
CCC(C#N)CC1CCCCC1,165.27999999999997,165.151749608
CC1CC(C)(C)C(C)(C)CC1=O,168.27999999999997,168.15141526
CCCC1CC1(C)C(=O)C#N,151.209,151.099714036
COCC1C2C(C)C2C(C)CC1(C)C,196.33399999999995,196.182715388
CCC1(C2(C)CC3C(C)C3C2)CC1C,192.34599999999995,192.187800768
COc1cc(-c2ccccc2)c[nH]1,173.215,173.084063972
CCN(C)CC1(CC(C)C)CCC1,183.33899999999994,183.19869979999999
C#Cc1sccc1C(C)(C)C,164.27299999999997,164.065971384
CC12CC3CC(C1)C2C3,122.211,122.109550448
CSC(C#N)CC(C)(C)C,157.282,157.09252048
C1C2CC3C4CC5CC4C3C1CC25,174.28699999999998,174.140850576
CCCC(=O)C(C#N)C(CC)CC,181.27899999999994,181.146664228
CC(=O)C1CCCS(=O)(=O)C1,176.237,176.050715244
CCCC1C2CCC(C)C(C)C12OC,196.33399999999997,196.182715388
CC(=O)CCCCCCC(=O)C(C)=O,198.262,198.125594436
CCCC1CCC1CCl,146.661,146.08622816
CC(C)(C)CC1CCCCC1C#N,179.307,179.167399672
CCC(CC)OP(=O)(Cl)CC,198.63,198.057644062
CC(C)C1CCC2C(C1)C1C2N1C,179.30700000000002,179.167399672
CC(Cl)CC(C)CC(C)CCF,194.72099999999998,194.12375654
CC12CC34CC5CC3C1(CC54)C2,160.25999999999996,160.125200512
CCSCC(CC)SSC,196.406,196.041413512
CCCCC(CC#N)C(C)(C)F,171.259,171.142327796
CCC1CCCCC1C(=O)OC(C)C,198.30599999999998,198.161979944
CCCC(C)C(C)(CC(C)C)C(C)C,198.39399999999998,198.23475095999999
CC1CC12CCC1CCC3C(CC1)C32,190.32999999999998,190.172150704
CC1C2CC(=O)C(C#N)C(C)(C)CC12,191.27399999999997,191.131014164
CC(C)CCC1CC1CC1CCC1C,194.36199999999997,194.203450832
CC1CC2CC3CCC(C1)C3C2,164.29199999999997,164.15650064
CCCC(F)(F)CCCC#N,161.195,161.101605856
CCCC12CC(C)C1CC(=O)O2,168.23599999999996,168.115029752
CC1CC(C)(C)C(=O)CC1C(C)(C)C,196.33399999999997,196.182715388
CCC(C(C)C)C1CCC(C)(C)C1C,196.378,196.219100896
CCC(C)CC1C(C)C(C)C1C,168.32399999999998,168.187800768
CCCCCC(CC1CCC1)C1CC1,194.36199999999994,194.203450832
CCCC(CCC)CC(C)CC#N,181.32299999999998,181.183049736
CCCC(=O)C(C)C(C)C(C)C(C)C,198.34999999999997,198.198365452
CCCCCCCC(C)(C)C(C)(C)C,198.39399999999998,198.23475095999999
CC(CF)C1(CF)CCOC1,164.19499999999996,164.101271508
CCC12CC3CCC(C3C)C(C)C1C2,192.34599999999998,192.187800768
CCCC(C)C(C)CCC(=O)CC#N,195.30599999999998,195.162314292
CCON(C)C(C)C1CCCS1,189.32399999999996,189.118735228
CCCC1(Cl)CC2CCC1C2,172.69899999999996,172.101878224
CCCCC(=O)C(C)C(C)OC,172.26799999999997,172.14632988
CC1CC(C)C(CCC(=O)N(C)C)C1,197.32199999999997,197.177964356
CCC(C#N)C1CCC1,123.199,123.10479941599999
CCC(=O)C(C)C(CC)SC#N,185.29199999999997,185.0874351
CC1CCCC2C(C1)CC(C)C2(C)C,194.362,194.203450832
CC1CCC(C)(CC2CC2)C1(C)C,180.33499999999998,180.187800768
CCCC(CC#N)CCC(C)CC,181.323,181.183049736
CCC(CC#N)CCF,129.178,129.095377604
CC(C)CSC(C)C(C)(C)C,174.35299999999998,174.144221704
CCC(C(=O)OC)S(=O)(=O)CC,194.25199999999995,194.061279928
CCCCCC(=O)OC(C)CCC,186.29499999999996,186.161979944
CC(=O)CC1C(C)C2CCC1(C#N)C2,191.27399999999994,191.131014164
CCC1CCC(Cl)C1C(C)=O,174.671,174.08114278
CC1CC(OC=O)CCC2(C)CC2C1,196.28999999999996,196.14632988
CC1CC2CCC(C)C(C2)C1=O,166.26399999999998,166.135765196
CCOC(=O)OCOCC(C)Cl,196.63,196.050236576
CCS(=O)(=O)CC(C)CCCl,198.71499999999997,198.0481284
CC1(C(F)F)CCCC1=O,148.15200000000002,148.06997138
CCCCC(C)C(=O)OOCF,178.20299999999995,178.10052256
CCCC(C)SCC(C)(C#N)CC,199.363,199.139470672
CCCCCC(F)(F)C(C)C,164.239,164.137657016
CCC(C)CC1(CC(=O)OC)CC1,184.27899999999997,184.14632988
CCC(=O)C1(C)CC(C)CCCC1C,196.33399999999995,196.182715388
CCCCC(CCC)CCF,160.27599999999998,160.162728892
CC1CC2CC(C2)CC1C,138.254,138.140850576
CC(=O)C1(CC(C)C(C)C)CCCC1,196.33399999999992,196.182715388
C1CC2CC1CC1CC21,122.21099999999998,122.109550448
CCC1C(C)CC1C(C)C,140.26999999999998,140.15650064
CCCC1SOC(C)(C)C1C,174.309,174.107836196
CN(C)C(=O)CC1(C)CC2CC1C2,181.27899999999997,181.146664228
CCCC(C#N)CCF,129.178,129.095377604
CC1C2C(C)(C)C3CC3(C)C12C,164.29199999999997,164.15650064
CC(CC1CC1)CC12CC1C2,150.26500000000001,150.140850576
COP(C)(=O)CC(=O)CC(C)C,192.19499999999996,192.09153103399998
CC1CCC2(CCC(=O)O2)C1(C)C,182.26299999999998,182.130679816
CCC1C2C3CC4CCC(C)C4(C3)C12,190.32999999999998,190.172150704
CCC1CC(C)C(C)(C)C1(C)C,168.32399999999998,168.187800768
C#Cc1cc(OC)cs1,138.19099999999997,138.013935812
CC1C(=O)C2CCCC(C)(C2)C1(C)C,194.31799999999998,194.167065324
COC(=O)C1CC(C)(F)CC1CF,192.20499999999996,192.096186128
CS(=O)(=O)C1CCCCC1,162.25399999999996,162.071450688
COC(=O)C1(C)CCC12CCCC2,182.26299999999995,182.130679816
CCCC(C)(C#N)CCl,145.63299999999998,145.065827064
CC1(C(C#N)CCC2CC2)CCCC1,191.31799999999996,191.167399672
CCCOCCCC(C)CCC,172.31199999999995,172.182715388
CC(=O)CCC1CCC(C)O1,156.225,156.115029752
CC1CC(C)(C)C2CCCC12,152.28099999999998,152.15650064
CC(=O)CCCCC(C)CC(C)=O,184.27899999999997,184.14632988
CCCCC(CC)C1CC(=O)N1C,183.295,183.162314292
CCC1(F)C(C)CC(C)CC1F,176.24999999999994,176.137657016
CCCC12CCCC(C1)C(Cl)C2,186.726,186.117528288
CC(C)CC(C)CC#N,125.21499999999999,125.12044947999999
CCC(C#N)CCCC(CC)CC,181.32299999999998,181.183049736
CCCC(C1CC1)C1CC1,138.254,138.140850576
CC(C)CC(C)(C)C(C)C1CC1,168.32399999999996,168.187800768
CCCC(=O)C(CC)S(C)(=O)=O,192.27999999999997,192.082015372
CCCCC(CC)CC(=O)C1CC1,182.30699999999996,182.167065324
CCCC(C)CC(C)S(C)(=O)=O,192.32399999999998,192.11840088
CCC1CCC(C)(C)C1C1CCCC1,194.36199999999994,194.203450832
CCC(C)CC1(C2C(C)C2(C)C)CC1,194.36199999999994,194.203450832
COC(=O)CC1CCCCCC(C)C1,198.30599999999995,198.161979944
COC(=O)OC1CCCC(C)C1,172.224,172.109944372
CC(C#N)C1CCC(C)C1(C)C,165.27999999999997,165.151749608
CCCCCC(C)(C)CCC(C)C#N,195.35,195.19869979999999
CC1CC2CCSC3CC1C2C3,182.332,182.112921576
CCCCCC(C)C(C)C(C)CCC,198.39399999999995,198.23475095999999
CCCOC(=O)OC(C)N(C)CC,189.25499999999997,189.136493468
CCC1(C)CC2C(C)C2C1C(=O)OC,196.28999999999996,196.14632988
CC(C)CC1(C)CC(C)C12CC2,166.30799999999996,166.172150704
CCCC(Cl)(CC)CC,148.677,148.101878224
CCC12CC(CN(C)CC1C)C1CC12,193.334,193.183049736
CCCC1CC1(CCC)CC(C)C,182.351,182.203450832
C#Cc1ccc(N(C)C)s1,151.234,151.045570288
CC(C)C1CCCCCCCCCC1,196.37799999999996,196.219100896
COC(=O)OCC(=O)C(=O)C(C)C,188.179,188.068473484
CCCCC(C#N)C(F)(F)C(F)F,197.17499999999998,197.082762232
CCOC(=O)C(CC(C)=O)C1CC1C,198.26199999999997,198.125594436
CC1(C)CCCCCS(=O)(=O)C1,190.308,190.102750816
CCC(C)C1C(C(C)C)CC12CC2C,194.36199999999994,194.203450832
CCC1CC2C3CCC2(C1)CC1CC13,190.32999999999996,190.172150704
CC(=O)CCC(C)(C)C(C)C(C)C,184.32299999999998,184.182715388
CCCC(C)OC(=O)OC(C)=O,174.19599999999997,174.089208928
CC(CCCC1CC1C)CC(C)(C)C,196.37799999999996,196.219100896
CCC(Cl)CC(C)C1CCCC1,188.74199999999993,188.133178352
CCCC1CC(=O)C(C(C)C)C1(C)C,196.33399999999997,196.182715388
CCCC(=O)CCCCC(F)CC,188.28599999999997,188.157643512
CC1CC1C(CC1CC1)C1CCC1,178.31899999999996,178.172150704
CCC(C)C(=O)C1(C#N)CC1,151.20899999999997,151.099714036
CCCCCC1CC1C(=O)C(=O)C#N,193.24599999999998,193.11027872
CCC(C)C(CC#N)CCCC(C)=O,195.30599999999995,195.162314292
C1CC2CC3C4CC4C3C3CC(C1)C23,188.31399999999996,188.15650064
CC1CCC2C(C)CC(C)C2C1,166.30799999999996,166.172150704
CC1CC2CC(C2)C(C)C(=O)OC1C,196.29,196.14632988
CCCSC(C)CC(C)CC,174.35299999999998,174.144221704
CCCCC1CC(C2(C)CC2C)C1,180.33499999999995,180.187800768
COC(=O)CCC1CCCCCC1C,198.30599999999995,198.161979944
C1CC2CC2CC2CCC3(C1)CC3C2,190.32999999999996,190.172150704
CCCC1C(C)C1C1CC1CC,166.30799999999996,166.172150704
CCCC1(C)CCC(C)CC1(C)C,182.35099999999997,182.203450832
CCCC(F)(CC)C(C)=O,146.20499999999998,146.11069332
CCCC1(C)CC(CC)C(=O)C1C,182.307,182.167065324
CCC(=O)CC1OC(=O)C1C1CC1,182.21899999999997,182.094294308
CCC1CC(C(=O)OC)CC1=O,170.20799999999994,170.094294308
CCC12CC(CCCCC1=O)C2,166.26399999999998,166.135765196
CS(=O)(=O)CCCC1CCC1,176.28099999999998,176.087100752
CCCOC(=O)OCOC,148.158,148.073558864
CCC1CCC1(C)C(C)(C)CC,168.32399999999998,168.187800768
CCC12CC3CC4COC3C(C1)C42,178.27499999999998,178.135765196
CCC(CC)C(C)C1CC(C)C1C,182.351,182.203450832
CCC(C)CC(C)=O,114.18799999999999,114.104465068
CCCC(CCC(F)F)C(=O)OC,194.22099999999998,194.111836192
CC(C)C1CC2CC(C#N)(C2)C(C)C1,191.31799999999996,191.167399672
COC(=O)C1(C)CCCC(=O)C1C,184.23499999999999,184.109944372
CCCC(C(C)C)C1(C)CCCC1,182.35099999999994,182.203450832
CCCCCCC(=O)CC(C)CCC,198.34999999999997,198.198365452
CCCC(=O)C(C)C(C)(C)C,156.26899999999998,156.15141526
CCC1C2CCCC(C3(C)CC3)C12,178.319,178.172150704
CCCOC(=O)C(C)C1CCC1CC,198.30599999999993,198.161979944
CCC1(C)CC(=O)CCC1(C)C,168.27999999999997,168.15141526
CCCC12CCOC1(CC)C2,154.253,154.135765196
CC(F)C(C)CCCCC(C)(F)F,196.25599999999997,196.143885268
CCCC(C(=O)CC)C(CC)C(C)C,198.34999999999997,198.198365452
COCS(=O)(=O)C(C)(C)C,166.242,166.066365308
CCCC(C)CC(=O)OC(C)=O,172.224,172.109944372
CCC(C)C(OOC)C(C)C(C)C,188.31099999999998,188.177630008
CCCC(=O)C1CCCC(=O)C1CC,196.28999999999996,196.14632988
CCCCC(C(C)=O)C(Cl)Cl,197.105,196.042170428
CCCC1(CCC(C)C)CCCC1,182.35099999999994,182.203450832
CCC(CCC(C)C(C)C)OC,172.31199999999998,172.182715388
CCC1(C(C)(C)C)OOC1=O,158.19699999999997,158.094294308
CC(=O)CCCC(C)C(C)(C)C#N,181.279,181.146664228
CCC(CC(C)(F)F)C(=O)CC#N,189.20499999999998,189.096520476
CCCCCCCC(C)P,160.24099999999999,160.138087302
COC(=O)OCCOC(C)F,166.148,166.064137052
CCC12CC1OC(=O)CCCCC2C,196.28999999999994,196.14632988
CCC1CCS12CC2,130.256,130.081621448
